frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
19,1.0,[-0.7151769867273003 217.21275137619594 434.997543343096 574.0494796853025],[130.646728515625 489.67913818359375 303.2872009277344 541.4276123046875],0.9155728220939636,NLV610,0.5694709478805695
23,1.0,[-1.470566203582564 220.1673484029631 423.6864435118297 576.801938887417],[122.1441421508789 491.4190368652344 294.2709045410156 544.1489868164062],0.9120450019836426,WLV610,0.671418053152133
24,1.0,[-1.7084322581071092 220.6801893694438 420.1918079129386 577.1990132328389],[117.75106811523438 491.8173828125 290.50927734375 545.7340087890625],0.9147621989250183,WLV610,0.6993147681659768
30,1.0,[-2.743218894537847 223.78683185210767 395.30797232618926 580.8563360506324],[93.28550720214844 492.6267395019531 266.2307434082031 548.6649169921875],0.907465934753418,WLV610,0.40257326032983254
31,1.0,[-2.832293004270042 223.952006430462 390.54397347123165 581.1679050717538],[87.60433959960938 492.6219482421875 261.4365539550781 548.7152709960938],0.9095674753189087,HLV610,0.2782426416646641
32,1.0,[-2.939147999289702 223.89708882930273 385.61132934873194 581.1697102815579],[82.6444320678711 492.2450256347656 256.3642272949219 548.8175048828125],0.9120615720748901,WLV610,0.6213241315123683
33,1.0,[-3.04291011924812 224.41084245922644 380.75207671037134 581.4093223677246],[79.10496520996094 491.7369079589844 252.0966339111328 549.533447265625],0.9090144634246826,WLV610,0.7626809796812737
35,1.0,[-2.8663105906806265 224.83058002111844 371.7521657189286 581.6899927618832],[70.90895080566406 490.8234558105469 244.65269470214844 549.8612670898438],0.9127362370491028,WLV610,0.8233867279358422
36,1.0,[-2.9598420935150784 224.86083770629523 367.2490979253797 581.8202327169914],[65.89743041992188 489.79150390625 240.44064331054688 550.5422973632812],0.9154589176177979,WLV610,0.659716548157847
37,1.0,[-3.208151812252794 224.97307967472045 362.37852774141936 581.8769414069931],[62.324462890625 489.7242431640625 235.7461700439453 550.041748046875],0.9143277406692505,WLV610,0.8840678544423537
38,1.0,[-3.31205360741788 224.8094383575695 357.5044527978623 581.6182000343049],[59.27109146118164 489.0926513671875 232.63192749023438 550.6148071289062],0.9187232851982117,WLV610,0.7575319262726474
39,1.0,[-3.1171032639517477 224.93714451381192 353.39755924752035 581.9370953647649],[54.713558197021484 489.26483154296875 228.8077392578125 550.4338989257812],0.9116394519805908,HLV610,0.5050092780177314
43,1.0,[-2.4970180378933833 225.23853253034517 338.6149040588859 581.0730780152201],[42.686676025390625 488.5183410644531 216.34051513671875 551.0961303710938],0.9205858111381531,WLV610,0.6551683900411851
51,1.0,[2.1146871828413794 225.56639773163084 333.9386189620011 579.5448263780979],[45.253360748291016 486.1945495605469 217.53805541992188 547.1224365234375],0.9136857986450195,WLV610,0.3969777326884224
57,1.0,[9.031066570557442 219.29824867101834 367.3677245645533 569.5677017015904],[85.08870697021484 482.1918640136719 254.23519897460938 537.0199584960938],0.9185982346534729,WLV610,0.8317997221404141
