frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[5.83807897567749 203.03269958496094 467.99407958984375 581.3812255859375],[150.7064666748047 489.8171691894531 330.7702331542969 540.29052734375],0.9153130650520325,WLV 610,0.6990805541296341
1,1.0,[6.210894989537081 203.7853986862109 467.08170184176754 580.5945943272999],[150.59832763671875 489.4206848144531 330.0500183105469 540.1790161132812],0.9155582189559937,WLV 610,0.9733635197390184
2,1.0,[6.331456547040204 203.08004193353582 464.17177042159074 575.942447698148],[150.3680419921875 489.1155090332031 329.416259765625 540.0376586914062],0.9154176115989685,WLV 610,0.5901051516314783
3,1.0,[6.27584714764032 204.12048570315952 462.43898380158606 574.6991666312883],[149.8885040283203 489.00830078125 328.8313903808594 539.8339233398438],0.9163705110549927,WLV 610,0.8547416423788785
4,1.0,[6.049134641093417 205.1673462712091 460.924422247995 573.909216259384],[148.96273803710938 489.0434875488281 327.4115295410156 539.7503662109375],0.9152765870094299,WLV 610,0.6516137801563598
5,1.0,[5.500356881329338 206.53158701375938 459.1409927219722 573.7983903247197],[148.58717346191406 489.22027587890625 326.41912841796875 539.5440673828125],0.9156445264816284,WLV 610,0.6139669385597741
6,1.0,[4.966792774753486 207.7187735386289 457.412650524245 573.5831236202077],[148.01168823242188 489.2515563964844 324.816650390625 539.6975708007812],0.91273033618927,WLV 610,0.9651154228043178
7,1.0,[4.354792382013386 208.34538741031835 455.8997849637113 573.2609884391899],[147.74607849121094 488.9012756347656 323.7782287597656 539.5],0.9129649996757507,WLV 610,0.6012058493954409
8,1.0,[3.6670577443774164 208.9460042089474 454.51403399615833 573.0872083528925],[147.29995727539062 488.4969177246094 322.1442565917969 539.3775634765625],0.914290726184845,KLV 610,0.5131591725789119
9,1.0,[3.230285405939128 209.3617774318193 453.12220157947996 572.5175880386417],[146.4412078857422 488.4432678222656 320.4776916503906 539.1377563476562],0.9154840707778931,WLV 610,0.882392784964235
10,1.0,[2.5973189150669214 209.72991393003605 451.6800887796934 572.285260262563],[144.96791076660156 488.5236511230469 318.7639465332031 539.1064453125],0.9165742993354797,WLV 610,0.8564213811072641
